profile #,priority,p values,animal,,human freq.,,80/20 cutoffs
97966370,3,nan,Homo sapiens,,,,
65293449,4,0.460788879,Mus musculus,,,,
92195156,1,1.28E-14,Mus musculus,,,,
84168970,3,0.347600108,Homo sapiens,,,,
4754381,4,0.723922971,Mus musculus,,,,
72635008,1,1.02E-11,Mus musculus,,,,
49938195,1,0.036642291,Mus musculus,,,,
101834530,1,2.56E-06,Homo sapiens,,,,
75666578,1,0.00035345,Mus musculus,,,,
112627008,1,0.007517747,Mus musculus,,,,
80847849,3,0.377871382,Homo sapiens,,,,
8643881,3,0.803898263,Mus musculus,,,,
37251581,1,4.61E-05,Mus musculus,,,,
27097781,3,0.542693181,Mus musculus,,,,
49448649,3,0.558581138,Homo sapiens,,,,
970881,3,0.172246483,Mus musculus,,,,
82270470,3,0.956654892,Homo sapiens,,,,
26784103,1,0.005758969,Mus musculus,,,,
13765781,1,4.25E-07,Mus musculus,,,,
70023775,3,nan,Mus musculus,,,,
6471681,3,nan,Mus musculus,,,,
45635549,5,0.528595479,Homo sapiens,,,,
