"","Amygdala","Anterior_Cingulate_Cortex","Caudate_Basal_Ganglia","Cerebellar_Hemisphere","Cerebellum","value","Frontal_Cortex_BA9","Hippocampus","Hypothalamus","Nucleus_Accumbens_Basal_Ganglia","Putamen_Basal_Ganglia","Spinal_Cord_C1","Substantia_Nigra"
"199",NA,NA,84,79,79,79,64,NA,91,78,75,NA,NA
"200",NA,NA,89,60,37,37,72,NA,95,68,76,NA,NA
"201",NA,NA,83,64,76,76,64,NA,78,69,56,NA,NA
"202",NA,NA,67,48,82,82,65,NA,95,99,63,NA,NA
"203",NA,NA,96,81,65,65,64,NA,NA,93,76,NA,NA
"204",NA,NA,86,69,59,59,58,NA,NA,85,68,NA,NA
"205",NA,NA,87,71,74,74,71,NA,NA,84,69,NA,NA
"206",NA,NA,94,71,39,39,68,NA,NA,97,NA,NA,NA
"207",NA,NA,91,73,65,65,80,NA,NA,90,NA,NA,NA
"208",NA,NA,100,57,68,68,38,NA,NA,75,NA,NA,NA
"209",NA,NA,99,78,47,47,71,NA,NA,67,NA,NA,NA
"210",NA,NA,99,70,80,80,NA,NA,NA,86,NA,NA,NA
"211",NA,NA,83,71,45,45,NA,NA,NA,91,NA,NA,NA
"212",NA,NA,81,88,64,64,NA,NA,NA,63,NA,NA,NA
"213",NA,NA,91,68,94,94,NA,NA,NA,61,NA,NA,NA
"214",NA,NA,82,91,84,84,NA,NA,NA,89,NA,NA,NA
"215",NA,NA,89,78,81,81,NA,NA,NA,85,NA,NA,NA
"216",NA,NA,100,NA,75,75,NA,NA,NA,55,NA,NA,NA
"217",NA,NA,93,NA,71,71,NA,NA,NA,100,NA,NA,NA
"218",NA,NA,94,NA,84,84,NA,NA,NA,97,NA,NA,NA
"219",NA,NA,93,NA,64,64,NA,NA,NA,92,NA,NA,NA
"220",NA,NA,59,NA,78,78,NA,NA,NA,70,NA,NA,NA
"221",NA,NA,100,NA,81,81,NA,NA,NA,96,NA,NA,NA
"222",NA,NA,100,NA,53,53,NA,NA,NA,75,NA,NA,NA
"223",NA,NA,95,NA,59,59,NA,NA,NA,93,NA,NA,NA
"224",NA,NA,90,NA,68,68,NA,NA,NA,83,NA,NA,NA
"225",NA,NA,98,NA,64,64,NA,NA,NA,95,NA,NA,NA
"226",NA,NA,97,NA,72,72,NA,NA,NA,81,NA,NA,NA
"227",NA,NA,96,NA,47,47,NA,NA,NA,65,NA,NA,NA
"228",NA,NA,71,NA,72,72,NA,NA,NA,89,NA,NA,NA
"229",NA,NA,65,NA,64,64,NA,NA,NA,98,NA,NA,NA
"230",NA,NA,88,NA,62,62,NA,NA,NA,75,NA,NA,NA
"231",NA,NA,64,NA,70,70,NA,NA,NA,74,NA,NA,NA
"232",NA,NA,84,NA,82,82,NA,NA,NA,79,NA,NA,NA
"233",NA,NA,81,NA,57,57,NA,NA,NA,49,NA,NA,NA
"234",NA,NA,83,NA,74,74,NA,NA,NA,63,NA,NA,NA
"235",NA,NA,95,NA,66,66,NA,NA,NA,100,NA,NA,NA
"236",NA,NA,72,NA,71,71,NA,NA,NA,67,NA,NA,NA
"237",NA,NA,55,NA,72,72,NA,NA,NA,85,NA,NA,NA
"238",NA,NA,100,NA,91,91,NA,NA,NA,82,NA,NA,NA
"239",NA,NA,91,NA,77,77,NA,NA,NA,100,NA,NA,NA
"240",NA,NA,87,NA,70,70,NA,NA,NA,59,NA,NA,NA
"241",NA,NA,62,NA,78,78,NA,NA,NA,100,NA,NA,NA
"242",NA,NA,62,NA,NA,NA,NA,NA,NA,58,NA,NA,NA
"243",NA,NA,86,NA,NA,NA,NA,NA,NA,67,NA,NA,NA
"244",NA,NA,72,NA,NA,NA,NA,NA,NA,87,NA,NA,NA
"245",NA,NA,78,NA,NA,NA,NA,NA,NA,74,NA,NA,NA
"246",NA,NA,65,NA,NA,NA,NA,NA,NA,63,NA,NA,NA
